,pval,log2fc,pre_mean,on_mean,qval
ARHGEF40,0.0035871076691640883,1.1439608,48.963455,22.156725,0.672885495756048
C6orf47,0.004382358792043433,1.6989017,31.3919,9.669349,0.672885495756048
CASP10,0.0022232085979457476,1.4630748,39.980953,14.501862,0.672885495756048
CCL18,0.009132993002890062,-2.612158,58.960796,360.49667,0.672885495756048
CD163,0.004441388260816897,-0.6951403,363.9845,589.30615,0.672885495756048
CD300A,0.0059707340478013125,-0.6717083,128.14008,204.12177,0.672885495756048
CEP57,0.0047494720559961975,0.8063968,63.87825,36.526108,0.672885495756048
CHM,0.0013635642902573382,1.6288614,52.01827,16.819757,0.672885495756048
CSNK1G3,0.008248789013745286,1.4656495,29.618221,10.723944,0.672885495756048
CSTF2,0.007294829608292006,3.8293355,12.254261,0.8620696,0.672885495756048
CYP2U1,0.003538608978991972,2.8835852,33.07528,4.481856,0.672885495756048
DCUN1D1,0.003193844266128832,1.4232043,50.939945,18.99465,0.672885495756048
DDIT4,0.008301082120389037,-1.6550959,86.8919,273.66095,0.672885495756048
DHRSX,0.008250146319927943,0.6615241,96.946526,61.29057,0.672885495756048
DNAJC16,0.008955941020896226,2.163684,44.522964,9.936886,0.672885495756048
DNMT3A,0.008248741416077935,1.5542244,34.99934,11.917679,0.672885495756048
DRG1,0.009763377319099558,2.1833875,101.30656,22.303469,0.672885495756048
ENTPD1,0.007869229372266171,0.60305625,119.447266,78.63904,0.672885495756048
EVL,0.002795192844167408,1.1384547,287.85928,130.7589,0.672885495756048
FNBP4,0.00172860710510035,1.6910973,138.69112,42.95143,0.672885495756048
GAMT,0.0017849378095913086,2.8908238,34.20638,4.6119266,0.672885495756048
GPR84,0.009054198093636969,2.089819,55.896374,13.130627,0.672885495756048
GTF2IRD2,0.009056083082091855,2.5426722,13.207459,2.266724,0.672885495756048
GUCD1,0.001475059911915995,1.9275948,58.557365,15.392802,0.672885495756048
H1F0,0.004501255770553267,1.2349927,129.65495,55.08321,0.672885495756048
H2AFY,0.00748248197518616,-0.5702887,337.09525,500.526,0.672885495756048
HSCB,0.0024325438314196086,1.373611,58.552876,22.596964,0.672885495756048
IER3,0.0019368532997448736,0.6975594,497.1813,306.56918,0.672885495756048
IL3RA,0.008735539840701466,2.5716043,19.05417,3.2052362,0.672885495756048
IL6R,0.007578739452717462,1.2356915,98.81767,41.961826,0.672885495756048
IRAK3,0.006207471452790653,-0.84291416,47.80873,85.75307,0.672885495756048
KDM2B,0.00250098741092655,1.5967069,64.24067,21.239946,0.672885495756048
LARS,0.009926335296863346,1.3945147,140.33118,53.37814,0.672885495756048
LMBRD1,0.008513982797815288,1.4284627,150.98647,56.09548,0.672885495756048
MAML1,0.008755111759142084,0.87114346,39.92131,21.825514,0.672885495756048
METTL3,0.006679666872072728,1.9594381,31.945322,8.214055,0.672885495756048
MIA2,0.003393808301563505,1.3750312,25.166344,9.702742,0.672885495756048
MIR155HG,0.005769877320978749,1.6175691,25.111393,8.183404,0.672885495756048
MMP2,0.0042549522333505405,2.1383345,45.50028,10.335018,0.672885495756048
MNDA,0.008211573096210026,0.6784751,353.07355,220.60931,0.672885495756048
MPV17L2,0.0016021850675829938,1.2358198,32.6973,13.883311,0.672885495756048
MRPL49,0.00978762792164785,1.7671654,28.662558,8.420641,0.672885495756048
MRPS27,0.0010136344750455687,2.2918465,34.111004,6.9659433,0.672885495756048
MTG1,0.0039252362071081634,2.1268818,48.81873,11.177155,0.672885495756048
MYO1F,0.0066164754979561756,0.7231676,234.52351,142.06636,0.672885495756048
NAB1,0.002666339611179452,1.7356687,31.342964,9.4113455,0.672885495756048
NDUFS6,0.0013493521609926206,-0.9237272,184.60562,350.19867,0.672885495756048
NUPL2,0.009852624448297296,2.411299,50.072567,9.412968,0.672885495756048
OXA1L,0.007381505906999248,0.9411776,227.74934,118.613594,0.672885495756048
PADI2,0.007017295706039337,5.473397,34.533623,0.7772944,0.672885495756048
PBX2,0.009960735634831444,1.3907756,56.362427,21.494362,0.672885495756048
PDE8A,0.0012090718204121624,1.9685827,44.4878,11.366807,0.672885495756048
PER1,0.0073225166392435455,-1.5233786,64.581085,185.64703,0.672885495756048
PFKFB3,0.008114555073304686,-1.2374017,81.14713,191.32346,0.672885495756048
PHPT1,0.0034331609666412707,-0.8057063,199.68642,349.05212,0.672885495756048
POLR1C,0.0020255470100132176,2.4899442,22.900202,4.076537,0.672885495756048
PRDM1,0.009283523804359529,0.6901398,129.89812,80.51005,0.672885495756048
PSMB8,0.009037784270310772,-0.59985894,219.77063,333.07742,0.672885495756048
PXN,0.006321883904106594,0.70974106,148.09671,90.55075,0.672885495756048
RAB3GAP2,0.008024407404748234,1.2422433,42.179443,17.829878,0.672885495756048
RGS1,0.008924700787386471,-1.0009513,249.12482,498.57828,0.672885495756048
RUFY2,0.005669740274416245,1.6607676,17.206806,5.442011,0.672885495756048
SCARB1,0.0092329022636049,1.5535064,146.06201,49.76056,0.672885495756048
SENP3,0.008937186902609499,4.1015387,7.64686,0.44544798,0.672885495756048
SETD5,0.009358584401212431,1.420402,66.773186,24.947008,0.672885495756048
SLC18B1,0.009219412686164925,2.782144,95.96486,13.950939,0.672885495756048
SMPDL3A,0.009658492162105016,1.4743859,67.83932,24.41446,0.672885495756048
SPTY2D1,0.005186752882819836,1.66583,49.4465,15.583706,0.672885495756048
TMCO3,0.004858776887178577,0.94879854,63.579197,32.938076,0.672885495756048
TMEM184C,0.004636284192306759,1.6935582,41.23958,12.749771,0.672885495756048
TMEM259,0.007915285243094448,-0.5988646,105.8283,160.27953,0.672885495756048
TRAK1,0.009025234212805558,0.7808434,44.490055,25.894388,0.672885495756048
TRAPPC6B,0.004395845531123588,1.8734004,49.279438,13.449806,0.672885495756048
TRMT61B,0.007861397394315796,1.1654899,26.319036,11.733365,0.672885495756048
TSC22D3,0.0004157414256093656,-1.4227713,216.82266,581.30164,0.672885495756048
USP13,0.00213482267848239,4.550361,20.211851,0.8626028,0.672885495756048
XPO4,0.007501193089060901,2.389824,39.800964,7.59425,0.672885495756048
ZNF180,0.006676469267510585,4.9345584,12.756962,0.4171548,0.672885495756048
ZNF350,0.009384440134395143,1.7410138,18.66525,5.5838847,0.672885495756048
ZNF503,0.0028907345344493687,1.6587175,46.70279,14.791735,0.672885495756048
ZNF513,0.0071798667726205275,1.7243574,20.545841,6.2178555,0.672885495756048
ZNF785,0.008594618581791572,2.784142,17.21354,2.4989636,0.672885495756048
